date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-03-25T00:00:00.000Z,188.74,191.98,186.6,191.51,43845293,45.3095035217,46.0873078632,44.7957685554,45.9744782211,175381172,0.0,1.0
2019-03-26T00:00:00.000Z,186.79,192.88,184.58,191.66,49800538,44.8413805384,46.3033646247,44.3108411573,46.0104876813,199202152,0.0,1.0
2019-03-27T00:00:00.000Z,188.47,189.76,186.55,188.75,29848427,45.2446864933,45.5543678514,44.783765402,45.3119041524,119393708,0.0,1.0
2019-03-28T00:00:00.000Z,188.72,189.56,187.53,188.95,20780363,45.3047022603,45.5063552378,45.019027209,45.3599167661,83121452,0.0,1.0
2019-03-29T00:00:00.000Z,189.95,190.08,188.54,189.83,23563961,45.5999798344,45.6311880333,45.261490908,45.5711722662,94255844,0.0,1.0
2019-04-01T00:00:00.000Z,191.24,191.68,188.38,191.64,27861964,45.9096611926,46.0152889427,45.2230808171,46.00568642,111447856,0.0,1.0
2019-04-02T00:00:00.000Z,194.02,194.46,191.05,191.09,22765732,46.5770365226,46.6826642727,45.8640492096,45.8736517324,91062928,0.0,1.0
2019-04-03T00:00:00.000Z,195.35,196.5,193.15,193.25,23271830,46.8963204036,47.1723929322,46.3681816532,46.39218796,93087320,0.0,1.0
2019-04-04T00:00:00.000Z,195.69,196.37,193.14,194.79,19114275,46.9779418468,47.1411847333,46.3657810225,46.7618850853,76457100,0.0,1.0
2019-04-05T00:00:00.000Z,197.0,197.1,195.93,196.45,18526644,47.2924244663,47.3164307732,47.0355569832,47.1603897787,74106576,0.0,1.0
2019-04-08T00:00:00.000Z,200.1,200.23,196.34,196.42,25881697,48.0366199783,48.0678281771,47.1339828412,47.1531878867,103526788,0.0,1.0
2019-04-09T00:00:00.000Z,199.5,202.85,199.23,200.32,35768237,47.8925821372,48.6967934162,47.8277651088,48.0894338533,143072948,0.0,1.0
2019-04-10T00:00:00.000Z,200.62,200.74,198.18,198.68,21695288,48.1614527738,48.190260342,47.575698887,47.6957304212,86781152,0.0,1.0
2019-04-11T00:00:00.000Z,198.95,201.0,198.44,200.85,20900808,47.7605474496,48.2526767398,47.6381152848,48.2166672795,83603232,0.0,1.0
2019-04-12T00:00:00.000Z,198.87,200.14,196.21,199.2,27760668,47.7413424042,48.046222501,47.1027746423,47.8205632167,111042672,0.0,1.0
2019-04-15T00:00:00.000Z,199.23,199.85,198.01,198.58,17536646,47.8277651088,47.9766042112,47.5348881654,47.6717241143,70146584,0.0,1.0
2019-04-16T00:00:00.000Z,199.25,201.37,198.56,199.46,25696385,47.8325663701,48.3415000751,47.666922853,47.8829796145,102785540,0.0,1.0
2019-04-17T00:00:00.000Z,203.13,203.38,198.61,199.54,28906780,48.7640110754,48.8240268425,47.6789260064,47.90218466,115627120,0.0,1.0
2019-04-18T00:00:00.000Z,203.86,204.15,202.52,203.12,24195766,48.9392571153,49.0088754051,48.6175726037,48.7616104447,96783064,0.0,1.0
2019-04-22T00:00:00.000Z,204.53,204.94,202.34,202.83,19439545,49.1000993711,49.1985252291,48.5743612514,48.6919921549,77758180,0.0,1.0
2019-04-23T00:00:00.000Z,207.48,207.75,203.9,204.43,23322991,49.8082854227,49.8731024512,48.948859638,49.0760930642,93291964,0.0,1.0
2019-04-24T00:00:00.000Z,207.16,208.48,207.05,207.36,17540609,49.7314652409,50.0483484911,49.7050583033,49.7794778545,70162436,0.0,1.0
2019-04-25T00:00:00.000Z,205.28,207.76,205.12,206.83,18543206,49.2801466723,49.8755030819,49.2417365814,49.6522444283,74172824,0.0,1.0
2019-04-26T00:00:00.000Z,204.3,205.0,202.12,204.9,18649102,49.0448848654,49.2129290132,48.5215473763,49.1889227064,74596408,0.0,1.0
2019-04-29T00:00:00.000Z,204.61,205.97,203.86,204.4,22204716,49.1193044165,49.4457901895,48.9392571153,49.0688911722,88818864,0.0,1.0
2019-04-30T00:00:00.000Z,200.67,203.4,199.11,203.06,46534923,48.1734559272,48.8288281038,47.7989575406,48.7472066606,186139692,0.0,1.0
2019-05-01T00:00:00.000Z,210.52,215.31,209.23,209.88,64827328,50.5380771505,51.687979248,50.2283957924,50.3844367868,259309312,0.0,1.0
2019-05-02T00:00:00.000Z,209.15,212.65,208.13,209.84,31996324,50.2091907469,51.0494114861,49.9643264172,50.374834264,127985296,0.0,1.0
2019-05-03T00:00:00.000Z,211.75,211.84,210.23,210.89,20892378,50.8333547246,50.8549604008,50.4684588607,50.6269004858,83569512,0.0,1.0
2019-05-06T00:00:00.000Z,208.48,208.84,203.5,204.29,32443113,50.0483484911,50.1347711957,48.8528344107,49.0424842347,129772452,0.0,1.0
2019-05-07T00:00:00.000Z,202.86,207.42,200.83,205.88,38763698,48.6991940469,49.7938816386,48.2118660182,49.4241845134,155054792,0.0,1.0
2019-05-08T00:00:00.000Z,202.9,205.34,201.75,201.9,26339504,48.7087965697,49.2945504564,48.432724041,48.4687335013,105358016,0.0,1.0
2019-05-09T00:00:00.000Z,200.72,201.68,196.66,200.4,34908607,48.1854590806,48.4159196263,47.2108030231,48.1086388988,139634428,0.0,1.0
2019-05-10T00:00:00.000Z,197.18,198.85,192.77,197.42,41208712,47.5204843813,47.9229552653,46.4576720468,47.5783245083,164834848,0.77,1.0
